"Step","saturate_moe1Bsparse_15B - throughput/device/TPS","saturate_moe1Bsparse_15B - throughput/device/TPS__MIN","saturate_moe1Bsparse_15B - throughput/device/TPS__MAX","saturate_moe1Bolmo_15B - throughput/device/TPS","saturate_moe1Bolmo_15B - throughput/device/TPS__MIN","saturate_moe1Bolmo_15B - throughput/device/TPS__MAX","saturate_135M_15B_03 - throughput/device/TPS","saturate_135M_15B_03 - throughput/device/TPS__MIN","saturate_135M_15B_03 - throughput/device/TPS__MAX","saturate_271M_15_2_cont - throughput/device/TPS","saturate_271M_15_2_cont - throughput/device/TPS__MIN","saturate_271M_15_2_cont - throughput/device/TPS__MAX","saturate_271M_15B_2 - throughput/device/TPS","saturate_271M_15B_2 - throughput/device/TPS__MIN","saturate_271M_15B_2 - throughput/device/TPS__MAX"
"77","96010.9609375","96010.9609375","96010.9609375","51695.16796875","51695.16796875","51695.16796875","188896.625","188896.625","188896.625","","","","96375.25","96375.25","96375.25"
"78","95456.4453125","95456.4453125","95456.4453125","51697.51171875","51697.51171875","51697.51171875","190414.03125","190414.03125","190414.03125","","","","96368.3671875","96368.3671875","96368.3671875"
"79","95132.8515625","95132.8515625","95132.8515625","51717.09765625","51717.09765625","51717.09765625","190616.90625","190616.90625","190616.90625","","","","96278.390625","96278.390625","96278.390625"
"80","97015.296875","97015.296875","97015.296875","51723.33203125","51723.33203125","51723.33203125","188624.46875","188624.46875","188624.46875","","","","96574.171875","96574.171875","96574.171875"
"81","94921.046875","94921.046875","94921.046875","51660.91015625","51660.91015625","51660.91015625","189209.921875","189209.921875","189209.921875","","","","96095.7578125","96095.7578125","96095.7578125"
"82","95668.4765625","95668.4765625","95668.4765625","51663.48046875","51663.48046875","51663.48046875","190213.984375","190213.984375","190213.984375","","","","96100.2734375","96100.2734375","96100.2734375"
"83","95420.21875","95420.21875","95420.21875","51682.078125","51682.078125","51682.078125","188799.21875","188799.21875","188799.21875","","","","96678.390625","96678.390625","96678.390625"
"84","95334.7421875","95334.7421875","95334.7421875","51584.90234375","51584.90234375","51584.90234375","189255.140625","189255.140625","189255.140625","","","","96267.515625","96267.515625","96267.515625"
"85","95578.7890625","95578.7890625","95578.7890625","51629.72265625","51629.72265625","51629.72265625","189663.46875","189663.46875","189663.46875","","","","95867.1640625","95867.1640625","95867.1640625"
"86","94668.3984375","94668.3984375","94668.3984375","51650.62890625","51650.62890625","51650.62890625","189048.0625","189048.0625","189048.0625","","","","96167.0859375","96167.0859375","96167.0859375"
"87","95917.1328125","95917.1328125","95917.1328125","51706.87109375","51706.87109375","51706.87109375","191866.984375","191866.984375","191866.984375","","","","96243.46875","96243.46875","96243.46875"
"88","95087.046875","95087.046875","95087.046875","51688.74609375","51688.74609375","51688.74609375","189505.953125","189505.953125","189505.953125","","","","96138.09375","96138.09375","96138.09375"
